model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-Confidence,rew2.2,1,0.7839322499427787,0.8446,0.7999,0.8507,0.8378711484593837,0.8254,0.6889,0.7367021276595744,0.8524124154886293
confidnet,do1,MCD-EGEN,rew2.2,1,0.7857633325703822,0.8494,0.7858,0.8526,0.8271148459383754,0.8336,0.6943,0.7560283687943262,0.8567148125384143
confidnet,do1,MCD-MSR class pred,rew2.2,1,0.7905699244678416,0.8474,0.813,0.8641,0.8529971988795518,0.8463,0.7792,0.7918439716312057,0.860479409956976
confidnet,do1,MCD-MSR class,rew2.2,1,0.7912565804531929,0.8483,0.8114,0.8657,0.8560224089635854,0.8482,0.7716,0.7918439716312057,0.863821450522434
confidnet,do1,MCD-CTM class,rew2.2,1,0.7921721217669947,0.8586,0.8311,0.8717,0.8665546218487395,0.8288,0.6984,0.7404255319148936,0.8029348494161033
confidnet,do1,MCD-KPCA ERecError global,rew2.2,1,0.792858777752346,0.8668,0.8135,0.8272,0.8163585434173669,0.8156,0.6343,0.6643617021276595,0.7488859864781807
confidnet,do1,MCD-CTM class pred,rew2.2,1,0.7935454337376974,0.8586,0.8321,0.8728,0.8661064425770308,0.8297,0.6977,0.7404255319148936,0.8040104486785494
confidnet,do1,MCD-ECTMmeanOC,rew2.2,1,0.7937743190661478,0.8682,0.8289,0.8517,0.8417927170868348,0.818,0.6598,0.6666666666666666,0.7698217578365089
confidnet,do1,MCD-ECTMmean class avg,rew2.2,1,0.7942320897230487,0.8687,0.8234,0.845,0.8324929971988796,0.8317,0.6948,0.6556737588652483,0.7669022741241549
confidnet,do1,MCD-PCE class,rew2.2,1,0.7942320897230487,0.8496,0.7874,0.8407,0.8287955182072829,0.8477,0.7655,0.7852836879432624,0.8571757836508912
confidnet,do1,MCD-CTMmean class pred,rew2.2,1,0.7944609750514992,0.855,0.8513,0.8757,0.870812324929972,0.8292,0.7124,0.724645390070922,0.7814228641671789
confidnet,do1,MCD-fDBD class pred,rew2.2,1,0.7944609750514992,0.8658,0.8527,0.8731,0.8611764705882353,0.8184,0.701,0.7280141843971631,0.7954824830977258
confidnet,do1,MCD-ECTMmean global,rew2.2,1,0.7946898603799496,0.8689,0.8304,0.8517,0.8421288515406162,0.8186,0.6599,0.6638297872340425,0.767478488014751
confidnet,do1,MCD-PCE,rew2.2,1,0.7946898603799496,0.8451,0.7809,0.8403,0.8270028011204482,0.8494,0.7583,0.7842198581560283,0.8572141979102643
confidnet,do1,MCD-MSR global,rew2.2,1,0.7949187457084,0.8509,0.8133,0.8667,0.8555742296918768,0.8478,0.7725,0.7950354609929078,0.8614013521819299
confidnet,do1,MCD-MSR,rew2.2,1,0.7951476310368505,0.8429,0.8131,0.871,0.8607282913165266,0.8507,0.7737,0.7968085106382978,0.858520282728949
confidnet,do1,MCD-ECTMmean,rew2.2,1,0.7953765163653009,0.8688,0.8305,0.8519,0.8421288515406162,0.8185,0.6593,0.6645390070921986,0.7675169022741242
confidnet,do1,MCD-fDBD global,rew2.2,1,0.7953765163653009,0.8649,0.8496,0.8754,0.8630812324929972,0.8218,0.7016,0.7329787234042553,0.7949830977258758
confidnet,do1,MCD-fDBD class avg,rew2.2,1,0.7956054016937514,0.8584,0.8442,0.8758,0.8658823529411764,0.826,0.7192,0.7331560283687943,0.8025122925629994
confidnet,do1,MCD-ECTMmean class pred,rew2.2,1,0.7956054016937514,0.8688,0.8305,0.8519,0.8420168067226891,0.8185,0.6591,0.6645390070921986,0.7675169022741242
confidnet,do1,MCD-CTM global,rew2.2,1,0.7956054016937514,0.858,0.8275,0.8686,0.8678991596638655,0.8314,0.7011,0.75,0.8140365703749232
confidnet,do1,MCD-EMSR,rew2.2,1,0.7958342870222018,0.8518,0.7576,0.8209,0.796078431372549,0.8329,0.7019,0.7485815602836879,0.8525660725261217
confidnet,do1,MCD-MLS class,rew2.2,1,0.7967498283360036,0.8484,0.7849,0.8347,0.8300280112044818,0.8435,0.763,0.7824468085106383,0.8541026429010449
confidnet,do1,MCD-MLS class pred,rew2.2,1,0.7967498283360036,0.8481,0.7846,0.835,0.8307002801120448,0.8432,0.7638,0.7826241134751774,0.8548709280885064
confidnet,do1,MCD-PCE class pred,rew2.2,1,0.7967498283360036,0.8489,0.7899,0.8417,0.8346218487394959,0.8467,0.7661,0.7867021276595745,0.8564074984634297
confidnet,do1,MCD-CTM,rew2.2,1,0.7969787136644542,0.8582,0.8295,0.8691,0.8699159663865547,0.8317,0.7011,0.7453900709219858,0.8143822987092809
confidnet,do1,MCD-GEN,rew2.2,1,0.7969787136644542,0.8416,0.872,0.9265,0.9193277310924368,0.8719,0.8234,0.8425531914893617,0.8768438844499078
confidnet,do1,MCD-CTMmean class,rew2.2,1,0.7969787136644542,0.8538,0.8518,0.8758,0.8712605042016807,0.828,0.7123,0.7232269503546099,0.782460049170252
confidnet,do1,MCD-EPCE,rew2.2,1,0.7969787136644542,0.8542,0.7364,0.7992,0.7808403361344538,0.8398,0.7111,0.750709219858156,0.856599569760295
confidnet,do1,MCD-KPCA RecError global,rew2.2,1,0.7972075989929046,0.868,0.836,0.8381,0.8392156862745098,0.8164,0.6737,0.6890070921985816,0.753380454824831
confidnet,do1,MCD-PCE global,rew2.2,1,0.7972075989929046,0.8501,0.7887,0.8428,0.8299159663865546,0.8492,0.7654,0.7874113475177305,0.8564074984634297
confidnet,do1,MCD-fDBD,rew2.2,1,0.7972075989929046,0.8638,0.8503,0.8764,0.8635294117647059,0.82,0.703,0.725531914893617,0.7972879532882606
confidnet,do1,MCD-MLS global,rew2.2,1,0.797436484321355,0.8518,0.7855,0.8362,0.8299159663865546,0.8469,0.7621,0.7852836879432624,0.8547940995697603
confidnet,do1,MCD-ECTM,rew2.2,1,0.7976653696498055,0.8716,0.8125,0.8443,0.8318207282913165,0.8185,0.6263,0.700531914893617,0.7956745543945912
confidnet,do1,MCD-EMLS,rew2.2,1,0.797894254978256,0.8613,0.7212,0.7774,0.7558543417366946,0.8395,0.7152,0.7455673758865248,0.852681315304241
confidnet,do1,MCD-PE class,rew2.2,1,0.797894254978256,0.8505,0.7656,0.8136,0.8042577030812325,0.8415,0.7577,0.7719858156028369,0.8595574677320221
confidnet,do1,MCD-ENeCo,rew2.2,1,0.7983520256351568,0.8605,0.7225,0.7755,0.7564145658263305,0.8392,0.7163,0.7434397163120567,0.8514904732636754
confidnet,do1,MCD-PE global,rew2.2,1,0.7985809109636073,0.8515,0.7623,0.8154,0.8049299719887956,0.8435,0.7603,0.7755319148936171,0.8595574677320221
confidnet,do1,MCD-EfDBD global,rew2.2,1,0.7985809109636073,0.8749,0.82,0.8437,0.8300280112044818,0.8074,0.6394,0.6737588652482269,0.775660725261217
confidnet,do1,MCD-NNGuide class pred,rew2.2,1,0.7985809109636073,0.8563,0.7922,0.8245,0.8138935574229692,0.8353,0.7433,0.7537234042553191,0.8359326982175783
confidnet,do1,MCD-EfDBD class pred,rew2.2,1,0.7985809109636073,0.875,0.8198,0.8436,0.8300280112044818,0.8074,0.6393,0.6737588652482269,0.775660725261217
confidnet,do1,MCD-EfDBD,rew2.2,1,0.7985809109636073,0.8749,0.82,0.8437,0.8300280112044818,0.8074,0.6394,0.6737588652482269,0.775660725261217
confidnet,do1,MCD-GEN class,rew2.2,1,0.7988097962920577,0.8331,0.8373,0.9019,0.8950140056022409,0.8644,0.7951,0.8193262411347517,0.8692762753534112
confidnet,do1,MCD-MLS,rew2.2,1,0.7988097962920577,0.8506,0.7849,0.8377,0.8296918767507003,0.8461,0.7613,0.7847517730496454,0.855139827904118
confidnet,do1,MCD-CTMmean global,rew2.2,1,0.7990386816205082,0.8556,0.8458,0.8724,0.8705882352941177,0.8282,0.7084,0.725177304964539,0.7899892440073756
confidnet,do1,MCD-EfDBD class avg,rew2.2,1,0.7992675669489586,0.8758,0.823,0.8437,0.832156862745098,0.8075,0.6389,0.676241134751773,0.7812692071296865
confidnet,do1,MCD-ENNGuide,rew2.2,1,0.7992675669489586,0.8653,0.7325,0.7725,0.750140056022409,0.8272,0.6955,0.7090425531914893,0.8315534726490473
confidnet,do1,MCD-PE,rew2.2,1,0.7994964522774091,0.8522,0.7525,0.8074,0.7945098039215687,0.8401,0.7479,0.7663120567375886,0.8573294406883836
confidnet,do1,MCD-ENNGuide class pred,rew2.2,1,0.7994964522774091,0.8654,0.7322,0.772,0.749467787114846,0.8273,0.6954,0.7090425531914893,0.8322449293177627
confidnet,do1,MCD-NeCo,rew2.2,1,0.7994964522774091,0.8504,0.785,0.8385,0.8290196078431372,0.8458,0.7613,0.7840425531914894,0.8544099569760295
confidnet,do1,MCD-PE class pred,rew2.2,1,0.79995422293431,0.849,0.7681,0.8183,0.8076190476190476,0.8424,0.7607,0.7780141843971631,0.8545251997541488
confidnet,do1,MCD-PCE class avg,rew2.2,1,0.8008697642481117,0.857,0.804,0.8422,0.838655462184874,0.8412,0.7586,0.7929078014184398,0.8667025199754149
confidnet,do1,MCD-NNGuide,rew2.2,1,0.8010986495765622,0.8568,0.7893,0.8239,0.8107563025210084,0.8338,0.7472,0.750354609929078,0.83720036877689
